ORDER_NUMBER,ORDER_TYPE,ORDER_DESCRIPTION,ISSUE_CODE,ISSUE_DESCRIPTION,MAINT_ACTIVITY_TYPE,MAINT_ACTIVITY_DESCRIPTION,ORDER_CREATE_DATE,ORDER_CREATE_TIME,JOB_PRIORITY,SUBURB,STREET,HOUSE_NUM1,HOUSE_NUM2,POSTCODE,FITTER_DISTRICT,WORK_TIME_ELAPSED
401555575,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210808,07:47:36,A,CAMERON PARK,PORTLAND DR,61,F 1,2285,502,75
401555575,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210808,07:47:36,A,CAMERON PARK,PORTLAND DR,61,F 1,2285,502,75
401572898,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210826,14:21:12,A,BAR BEACH,TOOKE ST,16,,2300,500,75
401572898,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210826,14:21:12,A,BAR BEACH,TOOKE ST,16,,2300,500,75
401563361,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210816,11:31:45,A,RANDWICK,SULLY ST,15,U 2,2031,310,65
401563361,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210816,11:31:45,A,RANDWICK,SULLY ST,15,U 2,2031,310,65
401563361,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210816,11:31:45,A,RANDWICK,SULLY ST,15,U 2,2031,310,65
401563361,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210816,11:31:45,A,RANDWICK,SULLY ST,15,U 2,2031,310,65
401565224,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210819,11:04:42,A,CADDENS,BUNDLE ST,13,,2747,230,100
401565224,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210819,11:04:42,A,CADDENS,BUNDLE ST,13,,2747,230,100
401555910,GTWA,Trouble/Fault Order without Account,X50,URGENT RESPONSE TO AERIAL SURVEILLANCE,EMG,Emergency,20210808,10:30:35,A,MAYFIELD,TOURLE STREET,,,2304,500,30
401555910,GTWA,Trouble/Fault Order without Account,X50,URGENT RESPONSE TO AERIAL SURVEILLANCE,EMG,Emergency,20210808,10:30:35,A,MAYFIELD,TOURLE STREET,,,2304,500,30
